Occupation,Number,Earnings1
All occupations,5618645,16000
Accountants and auditors,703145,39000
"Managers, all other",282479,78000
Financial managers,240046,86000
First-line supervisors of retail sales workers,203788,73000
"Sales representatives, wholesale and manufacturing",194539,81000
Chief executives,151192,181000
Marketing and sales managers,146916,129000
First-line supervisors of non-retail sales workers,129356,139000
General and operations managers,108315,123000
Retail salespersons,117011,101000
Secretaries and administrative assistants,111591,49000
First-line supervisors of office and administrative support workers,97971,73000
Personal financial advisors,85682,210000
Management analysts,75194,123000
Human resources workers,81699,78000
Customer service representatives,88040,87000
Elementary and middle school teachers,51876,62000
Insurance sales agents,77650,221000
"Sales representatives, services, all other",75679,141000
Real estate brokers and sales agents,74842,195000
Computer and information systems managers,58919,187000
"Securities, commodities, and financial services sales agents",63388,200000
Computer systems analysts,57221,124000
Human resources managers,50307,136000
Credit counselors and loan officers,58892,137000
Food service managers,52487,149000
"Bookkeeping, accounting, and auditing clerks",54144,64000
Education administrators,28336,129000
"Property, real estate, and community association managers",48882,146000
"Software developers, applications and systems",42793,114000
Medical and health services managers,27496,159000
"Claims adjusters, appraisers, examiners, and investigators",40316,78000
Purchasing managers,32687,115000
Postsecondary teachers,10533,291000
Market research analysts and marketing specialists,31945,206000
"Purchasing agents, except wholesale, retail, and farm products",33424,137000
Construction managers,35210,195000
Computer programmers,31168,145000
Computer support specialists,29922,150000
First-line supervisors of production and operating workers,29519,150000
Registered nurses,28270,124000
"Office clerks, general",30149,104000
Advertising sales agents,27057,432000
Social workers,21776,81000
"Computer occupations, all other",22693,336000
Counselors,15900,140000
Cashiers,24641,133000
Police and sheriffs patrol officers,22419,177000
Secondary school teachers,14790,151000
"Transportation, storage, and distribution managers",19649,392000
Driver/sales workers and truck drivers,23743,195000
Social and community service managers,16697,324000
Compliance officers,19153,413000
Other teachers and instructors,18906,199000
"Sales and related workers, all other",20827,367000
"Business operations specialists, all other",17325,241000
"Office and administrative support workers, all other",19138,149000
"Wholesale and retail buyers, except farm products",20452,278000
Industrial production managers,16807,223000
"Production, planning, and expediting clerks",17822,297000
Designers,17255,360000
Paralegals and legal assistants,17084,284000
Billing and posting clerks,17253,153000
Network and computer systems administrators,15662,148000
First-line supervisors of construction trades and extraction workers,17144,234000
Stock clerks and order fillers,16463,149000
Operations research analysts,12441,362000
Insurance claims and policy processing clerks,15603,181000
"Inspectors, testers, sorters, samplers, and weighers",13801,181000
Receptionists and information clerks,13894,127000
Aircraft pilots and flight engineers,12520,405000
Budget analysts,11060,343000
Appraisers and assessors of real estate,12750,267000
"Nursing, psychiatric, and home health aides",12370,175000
Security guards and gaming surveillance officers,12556,225000
"Farmers, ranchers, and other agricultural managers",11973,222000
Janitors and building cleaners,11958,160000
Training and development specialists,10507,285000
"Compensation, benefits, and job analysis specialists",11022,242000
Database administrators,10261,280000
"Laborers and freight, stock, and material movers, hand",10427,198000
Supervisors of transportation and material moving workers,10331,252000
Payroll and timekeeping clerks,10597,169000
