Majors,Earnings
Bussiness,16000
Bussiness,39000
Bussiness,78000
Bussiness,86000
Bussiness,73000
Bussiness,81000
Bussiness,181000
Bussiness,129000
Bussiness,139000
Bussiness,123000
Bussiness,101000
Bussiness,49000
Bussiness,73000
Bussiness,210000
Bussiness,123000
Bussiness,78000
Bussiness,87000
Bussiness,62000
Bussiness,221000
Bussiness,141000
Bussiness,195000
Bussiness,187000
Bussiness,200000
Bussiness,124000
Bussiness,136000
Bussiness,137000
Bussiness,149000
Bussiness,64000
Bussiness,129000
Bussiness,146000
Bussiness,114000
Bussiness,159000
Bussiness,78000
Bussiness,115000
Bussiness,291000
Bussiness,206000
Bussiness,137000
Bussiness,195000
Bussiness,145000
Bussiness,150000
Bussiness,150000
Bussiness,124000
Bussiness,104000
Bussiness,432000
Bussiness,81000
Bussiness,336000
Bussiness,140000
Bussiness,133000
Bussiness,177000
Bussiness,151000
Bussiness,392000
Bussiness,195000
Bussiness,324000
Bussiness,413000
Bussiness,199000
Bussiness,367000
Bussiness,241000
Bussiness,149000
Bussiness,278000
Bussiness,223000
Bussiness,297000
Bussiness,360000
Bussiness,284000
Bussiness,153000
Bussiness,148000
Bussiness,234000
Bussiness,149000
Bussiness,362000
Bussiness,181000
Bussiness,181000
Bussiness,127000
Bussiness,405000
Bussiness,343000
Bussiness,267000
Bussiness,175000
Bussiness,225000
Bussiness,222000
Bussiness,160000
Bussiness,285000
Bussiness,242000
Bussiness,280000
Bussiness,198000
Bussiness,252000
Bussiness,169000
Science,27000
Science,125000
Science,57000
Science,149000
Science,80000
Science,67000
Science,73000
Science,143000
Science,94000
Science,95000
Science,280000
Science,311000
Science,364000
Science,176000
Science,303000
Science,568000
Science,354000
Science,155000
Science,425000
Science,414000
Science,290000
Science,263000
Science,345000
Science,318000
Science,483000
Science,392000
Science,268000
Science,236000
Science,68000
Science,88000
Science,246000
Science,250000
Science,153000
Science,161000
Science,490000
Science,130000
Science,160000
Science,325000
Science,189000
Science,153000
Science,479000
Science,132000
Science,333000
Science,23000
Science,87000
Science,88000
Science,154000
Science,116000
Science,82000
Science,136000
Science,248000
Science,71000
Science,169000
Science,102000
Science,90000
Science,207000
Science,237000
Science,290000
Science,151000
Science,262000
Science,251000
Science,380000
Science,317000
Science,163000
Science,291000
Science,258000
Science,305000
Science,409000
Science,192000
Science,212000
Science,208000
Science,229000
Science,374000
Science,131000
Science,142000
Science,335000
Science,115000
Science,183000
Science,336000
Science,73000
Science,139000
Science,152000
Science,103000
Science,188000
