Bussiness,Biological_Agricultural_EnvironmentalSciences,Computers_Mathematics_Statistic,Physical_Related_Science,Psychology,Social Science,Engineering,Science_Engineering_RelatedFields,Education,Literature_Languages,Liberal Arts_History,Visual_PerformingArt,Communications
16000,33000,32000,49000,28000,27000,23000,18000,9000,24000,27000,31000,39000
30000,167000,64000,311000,62000,173000,84000,25000,10000,46000,266000,83000,246000
58000,110000,70000,163000,64000,103000,46000,43000,27000,267000,57000,68000,276000
46000,68000,156000,118000,64000,48000,72000,87000,41000,59000,55000,148000,60000
68000,122000,113000,140000,89000,141000,61000,275000,56000,80000,147000,137000,159000
79000,58000,129000,108000,115000,42000,60000,129000,59000,146000,110000,170000,290000
196000,151000,120000,146000,515000,204000,53000,107000,53000,123000,179000,200000,154000
114000,129000,149000,173000,107000,322000,98000,45000,79000,79000,199000,127000,266000
151000,92000,143000,84000,252000,95000,66000,63000,129000,121000,90000,94000,287000
118000,407000,125000,344000,144000,207000,(B),103000,51000,238000,86000,183000,122000
91000,103000,144000,118000,178000,177000,90000,100000,82000,421000,602000,273000,525000
48000,120000,262000,(B),51000,212000,199000,69000,158000,(B),302000,285000,(B)
80000,262000,222000,317000,283000,103000,232000,60000,77000,216000,155000,227000,265000
153000,174000,90000,135000,248000,201000,238000,164000,388000,96000,270000,104000,246000
196000,165000,403000,(B),121000,319000,200000,77000,154000,194000,710000,(B),284000
102000,287000,(B),291000,205000,192000,154000,64000,142000,122000,335000,(B),474000
164000,234000,105000,239000,172000,73000,213000,138000,176000,217000,327000,108000,262000
83000,527000,491000,684000,(B),79000,296000,274000,199000,228000,116000,473000,405000
38000,90000,597000,579000,275000,429000,237000,184000,88000,375000,168000,288000,193000
199000,538000,(B),276000,254000,156000,164000,132000,93000,558000,275000,332000,346000
107000,115000,605000,350000,398000,243000,340000,140000,143000,(B),230000,(B),(B)
182000,401000,480000,365000,(B),197000,452000,174000,160000,387000,434000,(B),314000
78000,264000,438000,325000,271000,737000,246000,(B),89000,382000,432000,,(B)
229000,(B),(B),386000,172000,258000,640000,225000,230000,361000,139000,,184000
102000,197000,479000,279000,218000,146000,209000,262000,194000,382000,270000,,(B)
111000,(B),330000,149000,292000,163000,252000,199000,186000,177000,163000,,157000
115000,337000,(B),,247000,250000,391000,157000,117000,(B),(B),,(B)
139000,170000,(B),,387000,113000,755000,272000,251000,139000,(B),,(B)
65000,283000,(B),,247000,544000,358000,289000,566000,251000,254000,,317000
93000,168000,794000,,(B),272000,326000,217000,(B),,239000,,(B)
160000,214000,(B),,163000,196000,436000,142000,214000,,,,140000
97000,228000,192000,,,303000,293000,(B),280000,,,,(B)
161000,293000,,,,229000,(B),467000,118000,,,,(B)
90000,201000,,,,132000,(B),(B),290000,,,,
127000,(B),,,,223000,356000,655000,243000,,,,
154000,230000,,,,469000,(B),340000,(B),,,,
180000,130000,,,,338000,142000,308000,295000,,,,
109000,144000,,,,162000,272000,202000,270000,,,,
192000,502000,,,,394000,165000,230000,(B),,,,
121000,303000,,,,171000,439000,140000,,,,,
85000,(B),,,,(B),122000,311000,,,,,
140000,221000,,,,147000,179000,(B),,,,,
101000,393000,,,,(B),242000,(B),,,,,
103000,430000,,,,453000,528000,374000,,,,,
240000,278000,,,,(B),433000,252000,,,,,
77000,,,,,200000,342000,233000,,,,,
215000,,,,,438000,405000,126000,,,,,
161000,,,,,267000,194000,,,,,,
(B),,,,,329000,322000,,,,,,
127000,,,,,416000,(B),,,,,,
184000,,,,,359000,353000,,,,,,
76000,,,,,250000,273000,,,,,,
240000,,,,,(B),,,,,,,
173000,,,,,375000,,,,,,,
254000,,,,,331000,,,,,,,
313000,,,,,,,,,,,,
187000,,,,,,,,,,,,
294000,,,,,,,,,,,,
233000,,,,,,,,,,,,
161000,,,,,,,,,,,,
235000,,,,,,,,,,,,
182000,,,,,,,,,,,,
(B),,,,,,,,,,,,
138000,,,,,,,,,,,,
316000,,,,,,,,,,,,
284000,,,,,,,,,,,,
375000,,,,,,,,,,,,
173000,,,,,,,,,,,,
264000,,,,,,,,,,,,
232000,,,,,,,,,,,,
527000,,,,,,,,,,,,
112000,,,,,,,,,,,,
206000,,,,,,,,,,,,
(B),,,,,,,,,,,,
160000,,,,,,,,,,,,
216000,,,,,,,,,,,,
196000,,,,,,,,,,,,
(B),,,,,,,,,,,,
153000,,,,,,,,,,,,
530000,,,,,,,,,,,,
336000,,,,,,,,,,,,
279000,,,,,,,,,,,,
142000,,,,,,,,,,,,
221000,,,,,,,,,,,,
239000,,,,,,,,,,,,
142000,,,,,,,,,,,,
313000,,,,,,,,,,,,
394000,,,,,,,,,,,,
213000,,,,,,,,,,,,
311000,,,,,,,,,,,,
(B),,,,,,,,,,,,
(B),,,,,,,,,,,,
(B),,,,,,,,,,,,
307000,,,,,,,,,,,,
246000,,,,,,,,,,,,
(B),,,,,,,,,,,,
191000,,,,,,,,,,,,
205000,,,,,,,,,,,,
174000,,,,,,,,,,,,
245000,,,,,,,,,,,,
250000,,,,,,,,,,,,
175000,,,,,,,,,,,,
169000,,,,,,,,,,,,
(B),,,,,,,,,,,,
(B),,,,,,,,,,,,
(B),,,,,,,,,,,,
(B),,,,,,,,,,,,
(B),,,,,,,,,,,,
160000,,,,,,,,,,,,
287000,,,,,,,,,,,,
414000,,,,,,,,,,,,
