Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2004,39055,38984,39414,39265,39168,38853,38684,38689,39424,39924,40156,39894,39293
2005,39760,39657,39589,40061,40152,39808,39921,40132,40615,40972,40771,41262,40225
2006,40907,40773,40932,41243,41457,41253,41497,41495,42021,42413,42799,43001,41649
2007,42713,42894,42756,42809,43309,43080,43239,43314,43248,43530,43563,43725,43182
2008,43651,44405,44451,44351,43673,43611,43703,43823,43961,44257,43900,43619,43951
2009,43269,43190,43377,43547,43368,43048,43330,43495,43676,44431,43888,43752,43531
2010,43574,43313,43570,43778,43561,43868,43725,43460,44488,44370,44101,44170,43832
2011,44226,44495,44943,44976,44766,44590,44435,44648,45048,45348,45161,45228,44822
2012,45402,45808,46415,46310,46408,45674,45381,46253,46633,47242,47039,46892,46288
2013,47061,47567,47723,47888,47623,47163,46779,47097,47336,47780,48302,48053,47531
2014,48729,48796,48570,48684,48760,48364,48154,48062,48793,,,,
